ID,成品面料内部编号,基础面料编号,颜色内部编号,修图参考图链接地址,html????
6595,40DWS_LEVT,40DWS,LEVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20250324110338.jpg,#C3B9EB
8786,40DWS_LHPK,40DWS,LHPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240423172252.png,#FF4BAF
9868,40DWS_LNPK,40DWS,LNPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/liyimin--fabric-pefer-pic20241224090440.jpg,#D787AF
7048,40DWS_LVT,40DWS,LVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230404140333.jpg,#C3A5E1
8961,40DWS_MNBL,40DWS,MNBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240806110520.png,#9BB7CF
5530,40DWS_MVT,40DWS,MVT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20220307164052.jpg,#AF0587
8519,40DWS_MWT,40DWS,MWT,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240126195034.png,#EBEBEB
7051,40DWS_NBL,40DWS,NBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230404140321.jpg,#2D2D55
5821,40DWS_NEGN,40DWS,NEGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/gaoyan01--fabric-pefer-pic20250815100349.jpg,#CDEB2D
8392,40DWS_NGBL,40DWS,NGBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20250814133708.jpg,#233755
8392,40DWS_NGBL,40DWS,NGBL,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20250814133708.jpg,#233755
8298,40DWS_OGN,40DWS,OGN,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/baijiaming--fabric-pefer-pic20240126200420.jpeg,#73F555
8960,40DWS_OR,40DWS,OR,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/houtianyi--fabric-pefer-pic20240701155917.png,#FF5F37
7050,40DWS_PCPK,40DWS,PCPK,http://ftrade-image-1251006897.cos.ap-beijing.myqcloud.com/zhanghongjuan-specFinishFabricImg-20230705143030.jpg,#D77DAF
